,Unnamed: 0,actual,predicted,rec,date,open,high,low,close,volume
1205,1205,2973.39,2984.269775,sell,2021-08-19 12:30:00+04:30,2995.36,3021.39,2972.89,2973.39,70262.34248
1206,1206,3067.67,2973.193359,sell,2021-08-19 16:30:00+04:30,2973.39,3077.88,2963.37,3067.67,116034.4354
1207,1207,3147.58,3006.538086,sell,2021-08-19 20:30:00+04:30,3067.66,3163.57,3023.59,3147.58,124473.6704
1208,1208,3184.12,3065.304932,sell,2021-08-20 00:30:00+04:30,3147.59,3188,3142.01,3184.12,80062.75424
1209,1209,3217.83,3121.978271,sell,2021-08-20 04:30:00+04:30,3184.11,3243.6,3177.16,3217.83,117637.4796
1210,1210,3216.59,3172.220703,sell,2021-08-20 08:30:00+04:30,3217.84,3235,3203.79,3216.59,71737.82164
1211,1211,3204.33,3200.960449,buy,2021-08-20 12:30:00+04:30,3216.59,3227.31,3188.06,3204.33,68252.06461
1212,1212,3283.38,3208.969971,sell,2021-08-20 16:30:00+04:30,3204.33,3300,3202.82,3283.38,147574.6271
1213,1213,3252.75,3244.418213,sell,2021-08-20 20:30:00+04:30,3283.37,3298,3218.3,3252.75,87207.29568
1214,1214,3284.82,3252.650635,sell,2021-08-21 00:30:00+04:30,3252.76,3295,3244.74,3284.82,65718.16683
1215,1215,3276.44,3268.48877,sell,2021-08-21 04:30:00+04:30,3284.81,3287,3233.92,3276.44,61894.42486
1216,1216,3293.56,3271.515137,sell,2021-08-21 08:30:00+04:30,3276.45,3304.83,3255.07,3293.56,72885.43136
1217,1217,3249.61,3279.21875,buy,2021-08-21 12:30:00+04:30,3293.56,3309.16,3238.11,3249.61,103844.9521
1218,1218,3271.22,3264.650146,sell,2021-08-21 16:30:00+04:30,3249.4,3296.76,3244,3271.22,67786.06083
1219,1219,3217.41,3263.157959,buy,2021-08-21 20:30:00+04:30,3271.22,3292.1,3207,3217.41,72491.43185
1220,1220,3223.43,3238.281494,buy,2021-08-22 00:30:00+04:30,3217.41,3261.54,3212.21,3223.43,42253.7898
1221,1221,3226.01,3223.914551,sell,2021-08-22 04:30:00+04:30,3223.36,3257.26,3217,3226.01,39563.55664
1222,1222,3261.83,3215.852539,sell,2021-08-22 08:30:00+04:30,3226.01,3271,3225,3261.83,44033.72243
1223,1223,3255.71,3226.210938,sell,2021-08-22 12:30:00+04:30,3261.69,3272,3240.42,3255.71,46464.65727
1224,1224,3181.54,3231.293457,buy,2021-08-22 16:30:00+04:30,3255.71,3263.98,3154.42,3181.54,123711.8371
1225,1225,3175.25,3201.768799,buy,2021-08-22 20:30:00+04:30,3181.54,3193,3126.42,3175.25,70372.54645
1226,1226,3238,3178.132813,sell,2021-08-23 00:30:00+04:30,3175.25,3253.45,3134.08,3238,82332.75666
1227,1227,3340.22,3191.282227,sell,2021-08-23 04:30:00+04:30,3238,3355,3230.02,3340.22,165473.5493
1228,1228,3323.86,3248.881104,sell,2021-08-23 08:30:00+04:30,3340.22,3354.44,3312.72,3323.86,108048.043
1229,1229,3342.98,3283.351318,sell,2021-08-23 12:30:00+04:30,3323.86,3364.59,3316.21,3342.98,78004.21068
1230,1230,3325.98,3312.087158,sell,2021-08-23 16:30:00+04:30,3342.98,3377.89,3296.58,3325.98,118646.6912
1231,1231,3309.62,3320.352295,buy,2021-08-23 20:30:00+04:30,3325.97,3355.58,3304.29,3309.62,70703.07797
1232,1232,3321.28,3316.36377,sell,2021-08-24 00:30:00+04:30,3309.63,3344.85,3280,3321.28,61227.87398
1233,1233,3324.33,3314.989746,sell,2021-08-24 04:30:00+04:30,3321.28,3350,3281.96,3324.33,67679.37504
1234,1234,3346.6,3313.849609,sell,2021-08-24 08:30:00+04:30,3324.04,3357.85,3315.95,3346.6,57269.62526
1235,1235,3323.01,3322.833496,sell,2021-08-24 12:30:00+04:30,3346.61,3352.98,3298,3323.01,59875.59772
1236,1236,3211.54,3317.861328,buy,2021-08-24 16:30:00+04:30,3323.01,3324.83,3200.01,3211.54,156006.8172
1237,1237,3217.44,3265.231689,buy,2021-08-24 20:30:00+04:30,3211.54,3230,3147.31,3217.44,138238.6354
1238,1238,3170.62,3230.037109,buy,2021-08-25 00:30:00+04:30,3217.45,3225,3166.6,3170.62,61410.0279
1239,1239,3175,3191.228516,sell,2021-08-25 04:30:00+04:30,3170.63,3216,3168.32,3175,59090.8329
1240,1240,3183.6,3170.998047,sell,2021-08-25 08:30:00+04:30,3175,3222.26,3160.06,3183.6,61988.71372
1241,1241,3139.68,3164.24707,buy,2021-08-25 12:30:00+04:30,3183.38,3187.92,3080,3139.68,132193.6485
1242,1242,3217.17,3140.271484,sell,2021-08-25 16:30:00+04:30,3139.69,3224,3102.67,3217.17,118217.3137
1243,1243,3214.5,3160.45166,sell,2021-08-25 20:30:00+04:30,3217.17,3248,3201,3214.5,68133.66721
1244,1244,3226.87,3178.813965,sell,2021-08-26 00:30:00+04:30,3214.49,3239.93,3198.3,3226.87,44073.51842
1245,1245,3148.84,3196.27417,buy,2021-08-26 04:30:00+04:30,3226.88,3250,3140.73,3148.84,74431.58494
1246,1246,3105.16,3173.875,buy,2021-08-26 08:30:00+04:30,3148.84,3167.08,3061.01,3105.16,100581.5772
1247,1247,3087.54,3136.287354,buy,2021-08-26 12:30:00+04:30,3105.16,3118.59,3072.89,3087.54,70851.6939
1248,1248,3104.77,3104.606689,sell,2021-08-26 16:30:00+04:30,3087.55,3148.2,3053.3,3104.77,97590.28847
1249,1249,3108.72,3093.421875,sell,2021-08-26 20:30:00+04:30,3104.76,3134,3075.09,3108.72,58306.0674
