,actual,predicted
844,2188.46,2179.259521484375
845,2245.51,2129.247802734375
846,2241.13,2189.195068359375
847,2246.66,2216.427734375
848,2221.18,2207.7861328125
849,2164.67,2176.66455078125
850,2183.38,2135.65087890625
851,2203.97,2135.6962890625
852,2074.28,2160.658203125
853,2111.21,2032.53369140625
854,2222.78,2056.94921875
855,2243.47,2178.307861328125
856,2157.07,2175.939697265625
857,2012.4300000000003,2123.601318359375
858,1969.15,1975.0966796875
859,1983.84,1888.3408203125
860,1943.5200000000002,1894.766845703125
861,1885.4900000000002,1846.88427734375
862,1976.18,1820.7373046875
863,1944.7100000000003,1935.382568359375
864,1866.94,1912.27197265625
865,1861.01,1800.2047119140625
866,1895.92,1718.009033203125
867,1879.28,1828.9085693359375
868,2012.22,1807.72998046875
869,2005.36,1903.1964111328125
870,1991.54,1977.1270751953125
871,1974.67,1938.5999755859375
872,1916.52,1928.0274658203125
873,1968.14,1875.1861572265625
874,1905.01,1894.3890380859375
875,1919.49,1849.4044189453125
876,1965.25,1870.078369140625
877,1985.77,1916.967529296875
878,2011.58,1928.337646484375
879,1989.52,1951.6739501953125
880,1995.45,1941.75
881,1944.06,1942.9871826171875
882,1852.99,1899.530029296875
883,1827.07,1809.1832275390625
884,1851.4399999999998,1767.44091796875
885,1808.82,1780.4552001953125
886,1819.34,1752.5679931640625
887,1752.0,1769.036865234375
888,1802.17,1729.4012451171875
889,1779.0,1736.54833984375
890,1784.81,1707.6705322265625
891,1829.6400000000003,1708.57275390625
892,1882.48,1763.1265869140625
893,1867.33,1813.614501953125
894,1839.6,1815.8953857421875
895,1844.05,1800.2593994140625
896,1823.0,1801.8135986328125
897,1982.28,1767.270263671875
898,1967.62,1895.9765625
899,2048.99,1904.6483154296875
900,1999.84,1980.3035888671875
901,2117.39,1957.203369140625
902,2114.61,2041.0784912109375
903,2084.41,2035.561279296875
904,2104.0,2020.9237060546875
905,2130.86,2067.032470703125
906,2176.43,2090.01953125
907,2218.29,2116.043701171875
908,2221.56,2153.59521484375
909,2165.33,2174.429931640625
910,2126.58,2128.9990234375
911,2161.76,2103.067626953125
912,2156.24,2108.632568359375
913,2103.0,2088.690673828125
914,2242.37,2061.013671875
915,2275.68,2187.674560546875
916,2184.79,2215.994140625
917,2129.01,2154.8017578125
918,2139.14,2133.41259765625
919,2118.23,2089.702880859375
920,2100.18,2048.951171875
921,2106.41,2048.45068359375
922,2041.2,2082.759765625
923,2061.49,2032.921875
924,2038.9899999999998,2036.6605224609375
925,2124.15,2013.3505859375
926,2103.73,2063.90185546875
927,2154.13,2055.855712890625
928,2131.16,2113.446533203125
929,2195.95,2115.714599609375
930,2213.56,2162.304443359375
931,2224.75,2170.25634765625
932,2225.35,2180.85205078125
933,2226.99,2193.705322265625
934,2209.73,2187.386474609375
935,2334.96,2183.8642578125
936,2330.97,2290.14892578125
937,2330.77,2286.337158203125
938,2357.02,2293.903564453125
939,2322.69,2342.52978515625
940,2264.2,2302.38671875
941,2273.77,2229.53955078125
942,2194.91,2248.700927734375
943,2206.24,2171.203369140625
944,2245.3,2176.685546875
945,2196.53,2203.751953125
946,2238.17,2176.123779296875
947,2336.72,2219.814453125
948,2293.91,2299.4765625
949,2305.73,2237.571533203125
950,2327.67,2271.778564453125
951,2322.5,2300.729736328125
952,2339.47,2272.42333984375
953,2376.82,2291.8642578125
954,2384.33,2341.395263671875
955,2341.97,2351.515380859375
956,2366.28,2313.087646484375
957,2316.57,2345.522216796875
958,2253.36,2298.24267578125
959,2182.08,2217.27294921875
960,2168.59,2155.073974609375
961,2174.38,2123.435791015625
962,2157.75,2121.102783203125
963,2116.33,2118.267822265625
964,2121.42,2087.59912109375
