,ISA_9,ISB_26,ITS_9,IKS_26,ICS_26
438,33735.57,33691.515,33806.335,33760.58,33716.84
439,33735.86,33691.515,33814.525,33760.58,33695.25
440,33732.085,33691.515,33818.585,33760.58,33668.21
441,33729.5,33691.515,33816.56,33763.185,33666.13
442,33728.755000000005,33691.515,33814.795,33763.185,33682.91
443,33725.427500000005,33691.515,33802.985,33763.185,33671.88
444,33725.4075,33691.515,33797.985,33763.185,33650.49
445,33723.232500000006,33691.515,33797.085,33768.25,33665.91
446,33717.505000000005,33691.515,33808.17,33773.07,33687.63
447,33717.505000000005,33691.515,33808.17,33780.979999999996,33682.16
448,33723.802500000005,33691.515,33808.17,33793.630000000005,33675.0
449,33731.005000000005,33691.515,33803.69,33793.979999999996,33648.4
450,33738.805,33691.515,33803.69,33793.979999999996,33630.0
451,33738.805,33691.515,33785.43,33785.82,33635.92
452,33738.805,33691.515,33763.695,33764.085,33633.99
453,33738.8025,33691.515,33763.695,33764.085,33649.55
